dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk	0.847409	0.844839	0.771796	0.535555
wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk	0.795635	0.803355	0.712656	0.43399
wgEncodeAwgTfbsUtaGlioblaCtcfUniPk	0.83902	0.847019	0.728344	0.506997
wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk	0.853722	0.867656	0.733038	0.551096
wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk	0.844965	0.848296	0.781946	0.572543
wgEncodeAwgTfbsUtaHuvecCtcfUniPk	0.862788	0.874507	0.766713	0.583211
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk	0.797857	0.819448	0.696717	0.4815
wgEncodeAwgTfbsHaibHepg2JundPcr1xUniPk	0.835739	0.827876	0.752565	0.555248
wgEncodeAwgTfbsSydhHepg2Maffm8194IggrabUniPk	0.812121	0.845194	0.696544	0.528505
wgEncodeAwgTfbsUwHek293CtcfUniPk	0.839507	0.853867	0.6864	0.52021
wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk	0.815569	0.796197	0.757919	0.503893
wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk	0.839517	0.822336	0.78115	0.547772
wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk	0.777397	0.748842	0.708417	0.416727
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk	0.856797	0.83742	0.789727	0.578627
wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk	0.776665	0.780069	0.673698	0.422546
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk	0.833162	0.812994	0.760695	0.516692
wgEncodeAwgTfbsUwHmecCtcfUniPk	0.835467	0.850426	0.736411	0.495063
wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk	0.779611	0.770191	0.706325	0.40538
wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk	0.849305	0.866861	0.772162	0.534077
wgEncodeAwgTfbsHaibHepg2Sp2V0422111UniPk	0.906132	0.909686	0.818999	0.670361
wgEncodeAwgTfbsSydhK562CjunIfng30UniPk	0.794833	0.810198	0.681354	0.460517
wgEncodeAwgTfbsBroadNhlfCtcfUniPk	0.822856	0.832532	0.709283	0.488023
wgEncodeAwgTfbsUwNhdfneoCtcfUniPk	0.826848	0.831682	0.717563	0.49808
wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk	0.835457	0.827805	0.776064	0.542217
wgEncodeAwgTfbsUwAg04449CtcfUniPk	0.852271	0.846711	0.767243	0.533943
wgEncodeAwgTfbsUtaGm12878CmycUniPk	0.844363	0.832479	0.778304	0.531022
wgEncodeAwgTfbsSydhK562MaffIggrabUniPk	0.819575	0.844988	0.685972	0.516803
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk	0.829141	0.831617	0.759481	0.527317
wgEncodeAwgTfbsUchicagoK562EjunbUniPk	0.810554	0.813569	0.723247	0.507667
wgEncodeAwgTfbsUwHvmfCtcfUniPk	0.824636	0.832829	0.716551	0.483843
wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk	0.716644	0.715362	0.59316	0.330058
wgEncodeAwgTfbsHaibT47dGata3sc268V0416102Dm002p1hUniPk	0.702635	0.7048	0.615727	0.296932
wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk	0.775414	0.762393	0.676766	0.423447
wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk	0.68568	0.687848	0.569307	0.289706
wgEncodeAwgTfbsSydhK562MaxIggrabUniPk	0.815495	0.79649	0.749325	0.506515
wgEncodeAwgTfbsSydhH1hescZnf143IggrabUniPk	0.750919	0.760005	0.616827	0.349371
wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk	0.777557	0.75278	0.723007	0.414946
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk	0.837291	0.843024	0.750745	0.537317
wgEncodeAwgTfbsBroadHepg2CtcfUniPk	0.819563	0.830082	0.698363	0.472529
wgEncodeAwgTfbsSydhHuvecCjunUniPk	0.773365	0.787502	0.680343	0.411766
wgEncodeAwgTfbsUwHbmecCtcfUniPk	0.820679	0.818664	0.727005	0.48309
wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk	0.905203	0.883049	0.851666	0.691185
wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk	0.734528	0.732421	0.636522	0.350951
wgEncodeAwgTfbsHaibT47dEralphaaV0416102Est10nm1hUniPk	0.83974	0.833681	0.763571	0.547798
wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk	0.857317	0.865682	0.777274	0.547958
wgEncodeAwgTfbsSydhHelas3Ap2gammaUniPk	0.809408	0.782618	0.756188	0.494076
wgEncodeAwgTfbsHaibGm12891Pu1Pcr1xUniPk	0.799437	0.822899	0.70789	0.484324
wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk	0.778033	0.802291	0.625303	0.446086
wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk	0.853447	0.848068	0.787128	0.584076
wgEncodeAwgTfbsUwHpafCtcfUniPk	0.831488	0.843222	0.733765	0.489729
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk	0.788279	0.80166	0.688754	0.451572
wgEncodeAwgTfbsHaibK562SrfV0416101UniPk	0.881789	0.883606	0.814259	0.636674
wgEncodeAwgTfbsUwGm12875CtcfUniPk	0.839485	0.847399	0.715631	0.521818
wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk	0.80917	0.799309	0.751315	0.505101
wgEncodeAwgTfbsSydhMcf10aesCfosEtoh01HvdUniPk	0.820704	0.801382	0.761286	0.534854
wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk	0.857492	0.846064	0.784622	0.573786
wgEncodeAwgTfbsHaibHepg2Yy1sc281V0416101UniPk	0.811851	0.795672	0.743265	0.474899
wgEncodeAwgTfbsHaibH1hescTead4sc101184V0422111UniPk	0.794767	0.799546	0.711734	0.441966
wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk	0.906056	0.919465	0.813589	0.683043
wgEncodeAwgTfbsSydhHelas3Rfx5200401194IggrabUniPk	0.825186	0.831704	0.745451	0.528496
wgEncodeAwgTfbsSydhGm12878CfosUniPk	0.905592	0.908165	0.797954	0.595383
wgEncodeAwgTfbsSydhHepg2TbpIggrabUniPk	0.796134	0.781836	0.712488	0.44955
wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk	0.808741	0.821388	0.73822	0.488105
wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk	0.85745	0.860092	0.770338	0.56849
wgEncodeAwgTfbsUwGm12864CtcfUniPk	0.828208	0.843306	0.695873	0.495079
wgEncodeAwgTfbsUtaMcf7CtcfSerumstvdUniPk	0.831758	0.837289	0.707938	0.487289
wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk	0.855973	0.842028	0.78637	0.550883
wgEncodeAwgTfbsSydhGm12878Znf143166181apUniPk	0.789044	0.807257	0.691234	0.414835
wgEncodeAwgTfbsUtaNhekCtcfUniPk	0.847511	0.855125	0.704339	0.523003
wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk	0.86285	0.858588	0.775346	0.579654
wgEncodeAwgTfbsSydhGm12878Ebf1sc137065UniPk	0.799739	0.789309	0.739243	0.482141
wgEncodeAwgTfbsUwWerirb1CtcfUniPk	0.841824	0.844385	0.748213	0.496202
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk	0.819995	0.802628	0.730983	0.493988
wgEncodeAwgTfbsHaibHepg2Bhlhe40V0416101UniPk	0.874449	0.878717	0.775878	0.605911
wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk	0.899965	0.895355	0.842712	0.689293
wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk	0.846388	0.828971	0.767592	0.549652
wgEncodeAwgTfbsUwHcmCtcfUniPk	0.82118	0.836185	0.677044	0.480172
wgEncodeAwgTfbsSydhHepg2Hsf1ForsklnUniPk	0.852659	0.870546	0.763514	0.576534
wgEncodeAwgTfbsSydhGm18505NfkbTnfaIggrabUniPk	0.897027	0.88414	0.838973	0.665611
wgEncodeAwgTfbsSydhGm12878JundUniPk	0.87156	0.896346	0.780744	0.643061
wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk	0.797438	0.784177	0.71906	0.452688
wgEncodeAwgTfbsHaibSknshraCtcfV0416102UniPk	0.864279	0.87876	0.758486	0.587184
wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk	0.79356	0.784779	0.706591	0.479372
wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk	0.81342	0.809927	0.724286	0.513149
wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk	0.868034	0.859693	0.810917	0.608792
wgEncodeAwgTfbsUtaGm12892CtcfUniPk	0.83448	0.840318	0.699669	0.496592
wgEncodeAwgTfbsSydhGm12878Stat1UniPk	0.766027	0.786307	0.709037	0.372966
wgEncodeAwgTfbsSydhHelas3Prdm19115IggrabUniPk	0.826599	0.835622	0.755225	0.540289
wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk	0.817007	0.810247	0.757046	0.527572
wgEncodeAwgTfbsUtaMcf7CtcfUniPk	0.834114	0.829055	0.736728	0.504187
wgEncodeAwgTfbsUtaK562CtcfUniPk	0.848581	0.848128	0.764894	0.554086
wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk	0.793628	0.777755	0.719989	0.443081
wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk	0.81506	0.814857	0.734263	0.499616
wgEncodeAwgTfbsHaibPfsk1NrsfPcr2xUniPk	0.768925	0.775752	0.692036	0.375734
wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk	0.902119	0.88403	0.843911	0.687138
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk	0.851956	0.866565	0.743003	0.573135
wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk	0.839366	0.834104	0.769788	0.542831
wgEncodeAwgTfbsUwAg09319CtcfUniPk	0.839206	0.852299	0.731125	0.510002
wgEncodeAwgTfbsSydhMcf10aesE2f4TamHvdUniPk	0.857674	0.838705	0.788691	0.577947
wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk	0.840074	0.852919	0.719429	0.526093
wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk	0.875752	0.866998	0.802551	0.607551
wgEncodeAwgTfbsSydhH1hescTbpIggrabUniPk	0.803798	0.806924	0.732751	0.474104
wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk	0.841518	0.833133	0.766722	0.540928
wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk	0.827803	0.819522	0.758269	0.530856
wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk	0.825371	0.840031	0.742891	0.502404
wgEncodeAwgTfbsSydhHepg2Nrf1IggrabUniPk	0.912049	0.886242	0.854188	0.699941
wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk	0.821286	0.802211	0.76296	0.493205
wgEncodeAwgTfbsSydhMcf10aesCmycEtoh01HvdUniPk	0.792189	0.781632	0.70884	0.446732
wgEncodeAwgTfbsUwGm12872CtcfUniPk	0.827254	0.845462	0.672194	0.49677
wgEncodeAwgTfbsUchicagoK562Egata2UniPk	0.737153	0.742199	0.603315	0.353743
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk	0.813988	0.79772	0.735632	0.469446
wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk	0.893687	0.906394	0.819362	0.655784
wgEncodeAwgTfbsUwHmfCtcfUniPk	0.835172	0.846935	0.713824	0.520435
wgEncodeAwgTfbsUwHcfaaCtcfUniPk	0.841032	0.853297	0.709415	0.524735
wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk	0.848095	0.856833	0.731278	0.545343
wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk	0.881908	0.885188	0.796053	0.635753
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk	0.889842	0.907364	0.802348	0.687607
wgEncodeAwgTfbsUwSknshraCtcfUniPk	0.845737	0.85274	0.748338	0.539484
wgEncodeAwgTfbsUtaMcf7CmycVehUniPk	0.771925	0.750513	0.704928	0.422879
wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk	0.918394	0.898578	0.848928	0.706488
wgEncodeAwgTfbsHaibH1hescTcf12Pcr1xUniPk	0.836634	0.836918	0.76521	0.532383
wgEncodeAwgTfbsSydhK562CjunUniPk	0.82931	0.839667	0.704727	0.518427
wgEncodeAwgTfbsSydhMcf10aesCfosTamHvdUniPk	0.823501	0.81119	0.763551	0.535717
wgEncodeAwgTfbsBroadNhdfadCtcfUniPk	0.832858	0.84389	0.684999	0.510777
