dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk	0.842524	0.826227	0.779255	0.543425
wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk	0.781205	0.751790	0.735548	0.430169
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk	0.862927	0.845092	0.793265	0.585772
wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk	0.770452	0.768757	0.693065	0.415269
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk	0.831830	0.813322	0.771190	0.514319
wgEncodeAwgTfbsUwHmecCtcfUniPk	0.835371	0.849071	0.733992	0.498817
wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk	0.779475	0.770678	0.692646	0.402821
wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk	0.855856	0.872047	0.758252	0.547557
wgEncodeAwgTfbsHaibHepg2Sp2V0422111UniPk	0.904221	0.910557	0.826813	0.654548
wgEncodeAwgTfbsSydhK562CjunIfng30UniPk	0.788468	0.797985	0.689977	0.448806
wgEncodeAwgTfbsBroadNhlfCtcfUniPk	0.825034	0.840660	0.704912	0.479196
wgEncodeAwgTfbsUwNhdfneoCtcfUniPk	0.825793	0.831442	0.728052	0.484563
wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk	0.845187	0.834970	0.784580	0.545247
wgEncodeAwgTfbsUwAg04449CtcfUniPk	0.846856	0.851229	0.722268	0.538765
wgEncodeAwgTfbsUtaGm12878CmycUniPk	0.850271	0.836678	0.746757	0.552076
wgEncodeAwgTfbsSydhK562MaffIggrabUniPk	0.811898	0.839003	0.681749	0.513438
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk	0.834533	0.832882	0.775537	0.547093
wgEncodeAwgTfbsUchicagoK562EjunbUniPk	0.804341	0.807521	0.672123	0.471410
wgEncodeAwgTfbsUwHvmfCtcfUniPk	0.823352	0.834922	0.708354	0.486235
wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk	0.713678	0.707719	0.654157	0.306069
wgEncodeAwgTfbsHaibT47dGata3sc268V0416102Dm002p1hUniPk	0.707016	0.706860	0.634778	0.309011
wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk	0.781858	0.768187	0.697885	0.439514
wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk	0.690693	0.700851	0.552319	0.293592
wgEncodeAwgTfbsSydhK562MaxIggrabUniPk	0.816167	0.797062	0.750081	0.510930
wgEncodeAwgTfbsSydhH1hescZnf143IggrabUniPk	0.757389	0.767876	0.700639	0.350755
wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk	0.779167	0.757720	0.726469	0.404785
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk	0.834726	0.838818	0.755013	0.517059
wgEncodeAwgTfbsBroadHepg2CtcfUniPk	0.820618	0.830665	0.704123	0.478035
wgEncodeAwgTfbsSydhHuvecCjunUniPk	0.773483	0.780020	0.697305	0.407195
wgEncodeAwgTfbsUwHbmecCtcfUniPk	0.823417	0.835601	0.716746	0.480507
wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk	0.911248	0.891338	0.855530	0.704674
wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk	0.733997	0.732202	0.642812	0.342470
wgEncodeAwgTfbsHaibT47dEralphaaV0416102Est10nm1hUniPk	0.848685	0.840796	0.781965	0.549145
wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk	0.868011	0.877004	0.785859	0.602764
wgEncodeAwgTfbsSydhHelas3Ap2gammaUniPk	0.821793	0.796203	0.765133	0.517675
wgEncodeAwgTfbsHaibGm12891Pu1Pcr1xUniPk	0.794940	0.818444	0.704773	0.479237
wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk	0.781974	0.798750	0.676048	0.443565
wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk	0.847880	0.838214	0.785927	0.577963
wgEncodeAwgTfbsUwHpafCtcfUniPk	0.820837	0.836126	0.676781	0.478572
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk	0.787337	0.792858	0.690213	0.437307
wgEncodeAwgTfbsHaibK562SrfV0416101UniPk	0.881214	0.876137	0.829855	0.672437
wgEncodeAwgTfbsUwGm12875CtcfUniPk	0.836132	0.849451	0.693866	0.504562
wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk	0.806050	0.799094	0.742789	0.505894
wgEncodeAwgTfbsSydhMcf10aesCfosEtoh01HvdUniPk	0.821161	0.815830	0.721992	0.518809
